- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1282031649","Unintentional exposure to explosion or rupture of other specified pressurised devices")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1282031649","Exposure to explosion")												
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1864132942","Unintentional exposure to explosion or rupture of high pressure jet")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1864132942","Exposure to explosion")												
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2131829177","Unintentional exposure to explosion or rupture of gas cylinder")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2131829177","Exposure to explosion")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1643145190","Gas cylinder")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1049981790","Unintentional exposure to explosion or rupture of pressurized tyre, pipe, or hose")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1049981790","Exposure to explosion")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1028781286","Pressurised hose, pipe")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2095925713","Unintentional exposure to explosion or rupture of boiler")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2095925713","Exposure to explosion")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1944518956","Unintentional exposure to chemical explosion ")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1944518956","Exposure to chemical explosion")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1736723450","Unintentional exposure to high or low air pressure or changes in air pressure")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1736723450","Exposure to high or low air pressure or changes in air pressure")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F580577024","Unintentional exposure to sunlight")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F580577024","Exposure to sunlight")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F53324392","Unintentional lack of food")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F53324392","Lack of food")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1235293558","Unintentional exposure to electric current")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1235293558","Exposure to electric current")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1666126901","Unintentional exposure to electric transmission lines")	1	UNINT													
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F866821016","Unintentional abandonment")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F866821016","Abandonment")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F641539610","Unintentional neglect")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F641539610","Neglect")												
- -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1054699166","Unintentional contact with person, animal or plant")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1054699166","Exposure to person, animal or plant ")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F355825185","Unintentionally struck, kicked, or bumped by animal ")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F355825185","Exposure to being struck, kicked, or bumped")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1539950549","Unintentionally struck, kicked, or bumped by reptile or amphibian")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1539950549","Exposure to being struck, kicked, or bumped")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F114330365","Reptile or amphibian")											
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1709298096","Unintentionally struck, kicked, or bumped by land mammal")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1709298096","Exposure to being struck, kicked, or bumped")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F679494525","Land mammal")											
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1392526671","Unintentionally struck, kicked, or bumped by marine animal")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1392526671","Exposure to being struck, kicked, or bumped")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1067984829","Marine animal")											
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F441292080","Unintentionally struck, kicked, or bumped by insect or bird")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F441292080","Exposure to being struck, kicked, or bumped")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1517361661","Bird")											
					=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1297710397","Insect, invertebrate")											
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1472928386","Unintentionally stung or envenomated by animal")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1472928386","Exposure to being stung or envenomated")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1024404542","Unintentionally stung or envenomated by marine animal")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1024404542","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1067984829","Marine animal")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F881028479","Contact with venomous marine animals and plants")	2		=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F881028479","Exposure to person, animal or plant ")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1067984829","Marine animal (p)")											
					=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F794995879","Venomous or toxic plant, not elsewhere classified")											
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F242503080","Unintentionally stung or envenomated by insect or bird")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F242503080","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1517361661","Bird")											
					=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1297710397","Insect, invertebrate")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1451975552","Contact with hornets, wasps and bees")	1			=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1885119963","Wasp")											
					=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F754792155","Bee")											
					=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1158662338","Hornet")											
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1602046045","Stung by wasp")	2		=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1602046045","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1885119963","Wasp (p)")											
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F36524762","Stung by hornet")	2		=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F36524762","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1158662338","Hornet (p)")											
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F547591122","Stung by bee")	2		=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F547591122","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F754792155","Bee (p)")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1198391019","Contact with venomous spiders")	1			=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F487678442","Spider")											
																
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2134735631","Contact with tarantula")	0														
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F195425996","Contact with black widow spider")	1			=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F487678442","Spider (p)")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F627437588","Contact with centipedes and venomous millipedes")	1			=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F675417331","Centipede, millipede")											
																
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F868265494","Contact with scorpions")	1			=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1452840490","Scorpion")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1076772226","Contact with other venomous arthropods")	1														
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1169679561","Unintentionally stung by ant")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1169679561","Exposure to being stung or envenomated")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F243678978","Ant")											
- - - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1256953035","Unintentionally stung by caterpillar")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1256953035","Exposure to being stung or envenomated")												
